psraid,sample,int_date,fcall,attempt,refusal,lang,version,cregion,state,density,usr,scregion,sstate,susr,igender,irace,llitext0,llitext,cpitext,form,form1,qs1,q1f1,q2f2,q3,q4a,q4b,q5a,q5b,q5cf1,q5df2,q9a,q9b,q9c,q9d,q9e,q14a,q14bf1,q14cf1,q14df1,q14ef2,q14ff2,q14gf2,q17a,q17b,q17c,q18a,q18b,q18c,q19,q20,q25,q26,q27,q28af1,q28bf2,q28cf2,q29,q30,q36a,q36bf1,q37f1,q37f1vb,Q37f1_OE1,Q37f1_OE2,q38,q40,q41,q42,q46a,q46b,q46cf1,q46df2,q47a,q47b,q47c,q47d,q48a,q48b,q48c,q48d,q48aa,q49,q50,q51,q52,q52vb,Q52_OE1,Q52_OE2,Q52_OE3,q53,q56a,q56b,q57,q58,q59,q60,q61,q62,q63f1,q69,q70f1a,q70f1avb,q70f1a_OE1,q70f1a_OE2,q70f1a_OE3,q71f2,q71f2vb,Q71f2_OE1,Q71f2_OE2,Q71f2_OE3,q72,sex,age,recage,recage2,educ2,receduc,hisp,race3m1,race3m2,race3m3,race3m4,racecmb,racethn,birth_hisp,usborn1a,lgbt,relig,chr,born,attend,q75,marital,q78,q79,parent,q80,q84,income,reg,party,partyln,ideo,teaparty3,hh1,hh3,ql1,ql1a,qc1,lc2,lc3,money2,phoneuse,phoneuse2,coweight,llweight,cweight,weight
100001.0,Landline,50113.0,130501.0,1.0,No,English,Initial Version,Northeast,Pennsylvania,2.0,Rural,Northeast,Pennsylvania,R,Female,White,Leading newspapers and TV stations around the country,,,Form 1,,,Dissatisfied,,Don't know/Refused (VOL.),Disapprove,Disapprove,Not able to get things done,Not a strong leader,Stands up for what he believes in,,Some,Some,Some,Some,Some,Major changes,Major changes,Major changes,Works pretty well/Only minor changes,,,,2. Poor people have hard lives because government benefits Don't go far enough to help them live decently,1. Homosexuality should be accepted by society [OR],1. The Islamic religion is more likely than others to encourage violence among its believers [OR],Democratic Party,Democratic Party,Democratic Party,Not working together,Republican leaders in Congress,There should be a way for those who meet certain requirements to stay in the country legally,"Be able to apply for permanent residency, but not U.S. citizenship",Don't know/Refused (VOL.),Kept at its present levels,,,Somewhat,Don't think of it this way,Strongly favor,Strongly favor,,,,,Inevitable,Control gun ownership,Not at all likely,"No, would not",Favor,Favor,Oppose,,No,No,No,No,,,,,,Somewhat,Too much,Should,,,,,,"Yes, respondent",Mostly favorable,Mostly favorable,People are born gay or lesbian,Don't know/Refused (VOL.),Yes,Some [OR],Yes,No,Not upset,It makes you uncomfortable to be around homosexuals,Answer given,ELLEN DEGENERES,Ellen DeGeneres,,,,,,,,Is not a sin,Female,72.0,65+,65+,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Coll+,No,"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",,,,White,"White, non-Hisp",,"Yes, born in U.S. (includes Puerto Rico and Other U.S. Territories)","One: Heterosexual or straight,",Don't know/Refused (VOL.),No,,Never,Not too important,Married,,,No,Yes,,"50 to under $75,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,Liberal [OR],,2.0,2.0,"Yes, have cell phone",,,,Some on a cell phone and some on a regular home phone,,"Dual/few, some cell",Dual from LL,1.2758620689655173,2.0,,1.206896551724138
100011.0,Landline,50113.0,130501.0,2.0,No,English,Initial Version,Midwest,Minnesota,Highest,Urban,Midwest,Minnesota,U,Female,Black or African-American,Some important issues today,,,Form 2,,,,Right direction,Approve,Disapprove,Disapprove,Able to get things done,A strong leader,,Fights hard,Some,Only a little,Only a little,Only a little,Some,Works pretty well/Only minor changes,,,,Works pretty well/Only minor changes,Works pretty well/Only minor changes,Major changes,2. Poor people have hard lives because government benefits Don't go far enough to help them live decently,1. Homosexuality should be accepted by society [OR],2. The Islamic religion does not encourage violence more than others,Democratic Party,Democratic Party,Democratic Party,Not working together,Republican leaders in Congress,There should be a way for those who meet certain requirements to stay in the country legally,Be able to apply for U.S. citizenship [OR SHOULD THEY],Increased,,Kept at its present levels,Kept at its present level,Not much,Don't think of it this way,Favor,,,,,,Inevitable,Control gun ownership,Somewhat likely,"Yes, would",Favor,Favor,,Favor,Yes,Yes,No,Yes,Yes,No,,Yes,"Yes, about background checks",Not too much,Too much,Should,,,,,,"No, nobody in household owns a gun",Mostly favorable,Mostly favorable,People are born gay or lesbian,"No, no conflict",No,,,,,It Doesn't bother you to be around homosexuals [OR],,,,,,,,,,,Is not a sin,Male,59.0,55-64,50-64,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Coll+,No,"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",,,,White,"White, non-Hisp",,"Yes, born in U.S. (includes Puerto Rico and Other U.S. Territories)","One: Heterosexual or straight,",Nothing in particular,,,Seldom,Not too important,Never been married,Yes,No,No,No,Yes,"Less than $10,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,Moderate,,1.0,,"Yes, have cell phone",,,All or almost all calls on a regular home phone,,,"Dual/few, some cell",Dual from LL,1.0,2.0,,1.0
100020.0,Landline,50213.0,130501.0,2.0,No,English,5/2 - changes,Northeast,New York,Lowest,Rural,Northeast,New York,R,Female,White,Leading newspapers and TV stations around the country,Male first,,Form 1,Form 1A,,Satisfied,,Don't know/Refused (VOL.),Don't know/Refused (VOL.),Don't know/Refused (VOL.),Able to get things done,A strong leader,Stands up for what he believes in,,Don't know/Refused (VOL.),Don't know/Refused (VOL.),Don't know/Refused (VOL.),Don't know/Refused (VOL.),Don't know/Refused (VOL.),Don't know/Refused (VOL.),Don't know/Refused (VOL.),Completely rebuilt,Don't know/Refused (VOL.),,,,2. Poor people have hard lives because government benefits Don't go far enough to help them live decently,2. Homosexuality should be discouraged by society,2. The Islamic religion does not encourage violence more than others,Democratic Party,Don't know/Refused (VOL.),Both equally (VOL.),Not working together,Republican leaders in Congress,They should not be allowed to stay in the country legally [OR],,Don't know/Refused (VOL.),,,,A lot,Don't think of it this way,Strongly oppose,Strongly oppose,,,,,Don't know/Refused (VOL.),Control gun ownership,Not at all likely,"No, would not",Favor,Favor,Oppose,,No,No,No,No,,,,,,Not at all,Too little,Should,,,,,,"No, nobody in household owns a gun",Very unfavorable,Very unfavorable,Being gay or lesbian is just the way that some people choose to live?,Don't know/Refused (VOL.),Yes,A lot,No,Don't know/Refused (VOL.),Very upset,It makes you uncomfortable to be around homosexuals,Don't know/Refused,,Don't know/Refused,,,,,,,,Is a sin,Male,76.0,65+,65+,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),HS grad or less,No,"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",,,,White,"White, non-Hisp",,,"One: Heterosexual or straight,","Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, etc.)",,"Yes, would",Once a week,Very important,Widowed,Yes,No,No,Yes,,"Less than $10,000",Are you NOT registered to vote at your current address,Don't know/Refused (VOL.),Other/Don't know/Refused (VOL.),[VOL. DO NOT READ] Don't know/Refused,,1.0,,"Yes, have cell phone",,,Some on a cell phone and some on a regular home phone,,,"Dual/few, some cell",Dual from LL,1.4482758620689655,1.3333333333333335,,2.0689655172413794
100025.0,Landline,50313.0,130501.0,3.0,Yes,English,5/2 - changes,Northeast,Pennsylvania,2.0,Rural,Northeast,Pennsylvania,R,Female,Black or African-American,Leading newspapers and TV stations around the country,Female first,,Form 2,,,,Wrong track,Disapprove,Disapprove,Disapprove,Not able to get things done,Not a strong leader,,Fights hard,Only a little,Don't know/Refused (VOL.),Only a little,Only a little,None at all,Completely rebuilt,,,,Major changes,Major changes,Works pretty well/Only minor changes,1. Poor people today have it easy because they can get government benefits without doing anything in return [OR],1. Homosexuality should be accepted by society [OR],2. The Islamic religion does not encourage violence more than others,Republican Party,Republican Party,Republican Party,Not working together,Barack Obama [OR],There should be a way for those who meet certain requirements to stay in the country legally,Be able to apply for U.S. citizenship [OR SHOULD THEY],Decreased,,,,A lot,Like rewarding them for doing something wrong,Don't know/Refused (VOL.),,,,,,Inevitable,Protect the right of Americans to own guns,Not at all likely,Depends (VOL.),Favor,Favor,,Favor,No,No,No,No,,,,,,A great deal,Right amount,Should,,,,,,"Yes, both (VOL.)",Mostly favorable,Mostly favorable,People are born gay or lesbian,"No, no conflict",Yes,Some [OR],Yes,No,,It Doesn't bother you to be around homosexuals [OR],,,,,,,,,,,Is not a sin,Female,46.0,45-54,30-49,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Coll+,No,"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",,,,White,"White, non-Hisp",,,"One: Heterosexual or straight,",Atheist (do not believe in God),,,Seldom,Not too important,Married,,,Yes,,,Don't know/Refused (VOL.),Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Independent,Republican,Conservative,Agree,4.0,2.0,"Yes, have cell phone",,,,All or almost all calls on a regular home phone,,"Dual/few, some cell",Dual from LL,2.413793103448276,4.500000000000001,,2.586206896551724
100052.0,Landline,50113.0,130501.0,1.0,No,English,Initial Version,Northeast,New Jersey,4.0,Suburban,Northeast,New Jersey,S,Female,Black or African-American,Some important issues today,,,Form 2,,,,Don't know/Refused (VOL.),Approve,Disapprove,Disapprove,Not able to get things done,Not a strong leader,,Doesn't fight hard,Some,Some,Some,Only a little,A lot,Major changes,,,,Major changes,Major changes,Don't know/Refused (VOL.),1. Poor people today have it easy because they can get government benefits without doing anything in return [OR],1. Homosexuality should be accepted by society [OR],1. The Islamic religion is more likely than others to encourage violence among its believers [OR],Democratic Party,Democratic Party,Republican Party,Not working together,Republican leaders in Congress,There should be a way for those who meet certain requirements to stay in the country legally,"Be able to apply for permanent residency, but not U.S. citizenship",Kept at present level,,Increased,Kept at its present level,A lot,Don't know/Refused (VOL.),Strongly favor,,,,,,Inevitable,Control gun ownership,Not at all likely,"Yes, would",Favor,Favor,,Favor,No,No,No,No,,,,,,Not too much,Too much,Should,,,,,,"No, nobody in household owns a gun",Very favorable,Very favorable,People are born gay or lesbian,"No, no conflict",Yes,Some [OR],Yes,Yes,,It Doesn't bother you to be around homosexuals [OR],,,,,,,,,,,Is not a sin,Female,64.0,55-64,50-64,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD...)",Coll+,No,"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",,,,White,"White, non-Hisp",,"Yes, born in U.S. (includes Puerto Rico and Other U.S. Territories)","One: Heterosexual or straight,",Jewish (Judaism),,,Never,Don't know/Refused (VOL.),Divorced,Yes,No,No,Yes,,"75 to under $100,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Independent,Democrat,Moderate,,1.0,,"Yes, have cell phone",,,All or almost all calls on a cell phone,,,Dual/most cell,Dual from LL,2.5172413793103448,3.2500000000000004,,1.7586206896551726
100054.0,Landline,50113.0,130501.0,1.0,No,English,Initial Version,South,Florida,2.0,Suburban,South,Florida,S,Male,Black or African-American,Leading newspapers and TV stations around the country,,,Form 2,,,,Wrong track,Disapprove,Disapprove,Disapprove,Not able to get things done,Not a strong leader,,Don't know/Refused (VOL.),None at all,None at all,None at all,Only a little,Don't know/Refused (VOL.),Completely rebuilt,,,,Completely rebuilt,Completely rebuilt,Completely rebuilt,Don't know/Refused (VOL.),Neither/both equally (VOL.),Neither/both equally (VOL.),Neither (VOL.),Neither (VOL.),Republican Party,Not working together,[VOL. DO NOT READ] Neither,They should not be allowed to stay in the country legally [OR],,Kept at present level,,Don’t know/Refused (VOL.),Decreased,Don't know/Refused (VOL.),Like rewarding them for doing something wrong,Oppose,,,,,,Don't know/Refused (VOL.),Protect the right of Americans to own guns,[VOL. DO NOT READ] Don't know/Refused,"No, would not",Oppose,Don't know/Refused (VOL.),,Oppose,Yes,No,Yes,Yes,Yes,,Yes,Yes,Don't know/Refused (VOL.),[VOL. DO NOT READ] Don't know/Refused,Right amount,Don't know/Refused (VOL.),,,,,,Don't know/Refused (VOL.),Mostly unfavorable,Mostly unfavorable,Being gay or lesbian is just the way that some people choose to live?,"Yes, a lot of conflict",Yes,A lot,No,No,,Don't know/Refused (VOL.),,,,,,,,,,,Is a sin,Male,68.0,65+,65+,"Some college, no degree (includes some community college)",Some coll/Assoc degree,No,"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",,,,White,"White, non-Hisp",,"Yes, born in U.S. (includes Puerto Rico and Other U.S. Territories)","One: Heterosexual or straight,","Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, etc.)",,"No, would not",Once a week,Somewhat important,Married,,,No,Yes,,"20 to under $30,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Moderate,Agree,2.0,2.0,"Yes, have cell phone",,,,Some on a cell phone and some on a regular home phone,,"Dual/few, some cell",Dual from LL,1.5862068965517244,2.666666666666667,,1.7931034482758623
100059.0,Landline,50513.0,130501.0,3.0,Yes,English,5/2 - changes,Northeast,Pennsylvania,4.0,Suburban,Northeast,Pennsylvania,S,Female,Hispanic,Some important issues today,Male first,,Form 2,,,,Wrong track,Disapprove,Approve,Disapprove,Not able to get things done,Not a strong leader,,Doesn't fight hard,Don't know/Refused (VOL.),Don't know/Refused (VOL.),Only a little,Only a little,Only a little,Works pretty well/Only minor changes,,,,Works pretty well/Only minor changes,Major changes,Works pretty well/Only minor changes,2. Poor people have hard lives because government benefits Don't go far enough to help them live decently,2. Homosexuality should be discouraged by society,2. The Islamic religion does not encourage violence more than others,Republican Party,Republican Party,Republican Party,Not working together,Barack Obama [OR],There should be a way for those who meet certain requirements to stay in the country legally,Be able to apply for U.S. citizenship [OR SHOULD THEY],Decreased,,,,Somewhat,Don't think of it this way,Favor,,,,,,Inevitable,Protect the right of Americans to own guns,Not at all likely,"No, would not",Favor,Favor,,Oppose,Yes,No,Yes,No,No,,Yes,,,Not too much,Right amount,Should not,Answer given,WE LEGALLY SHOULD BE ABLE TO OWN GUNS.,Worries about rights/inconveniences to law-abiding citizens,,,"No, nobody in household owns a gun",Mostly favorable,Mostly favorable,People are born gay or lesbian,"Yes, a little conflict",No,,,,,Don't know/Refused (VOL.),,,,,,Answer given,I REALLY DONT BELIEVE IN IT,It's just wrong/I just don't agree with it,,,Is not a sin,Female,75.0,65+,65+,High school graduate (Grade 12 with diploma or GED certificate),HS grad or less,No,"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",,,,White,"White, non-Hisp",,,"One: Heterosexual or straight,","Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, etc.)",,"Yes, would",A few times a year,Very important,Widowed,No,No,No,Yes,,"20 to under $30,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Conservative,Agree,1.0,,"No, do not",,,,,,LLO,LLO,2.6896551724137936,3.3333333333333335,,4.724137931034483
100072.0,Landline,50113.0,130501.0,1.0,No,English,Initial Version,South,Maryland,3.0,Suburban,South,Maryland,S,Female,White,Some important issues today,,,Form 2,,,,Don't know/Refused (VOL.),Approve,Disapprove,Approve,Able to get things done,A strong leader,,Fights hard,Only a little,Some,A lot,Only a little,A lot,Completely rebuilt,,,,Works pretty well/Only minor changes,Completely rebuilt,Completely rebuilt,2. Poor people have hard lives because government benefits Don't go far enough to help them live decently,1. Homosexuality should be accepted by society [OR],2. The Islamic religion does not encourage violence more than others,Democratic Party,Democratic Party,Republican Party,Not working together,Republican leaders in Congress,There should be a way for those who meet certain requirements to stay in the country legally,Be able to apply for U.S. citizenship [OR SHOULD THEY],Increased,,Kept at its present levels,Increased,Somewhat,Don't think of it this way,Strongly favor,,,,,,Inevitable,Control gun ownership,Not at all likely,"Yes, would",Favor,Favor,,Favor,No,No,No,No,,,,,,A great deal,Too much,Should,,,,,,"No, nobody in household owns a gun",Mostly favorable,Mostly favorable,Being gay or lesbian is just the way that some people choose to live?,"Yes, a lot of conflict",Yes,Some [OR],Yes,Yes,,It Doesn't bother you to be around homosexuals [OR],,,,,,,,,,,Don't know/Refused (VOL.),Female,45.0,45-54,30-49,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD...)",Coll+,No,"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",,,,White,"White, non-Hisp",,"Yes, born in U.S. (includes Puerto Rico and Other U.S. Territories)","One: Heterosexual or straight,",Roman Catholic (Catholic),,"No, would not",Once a week,Very important,Separated,No,No,Yes,,,"75 to under $100,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,Liberal [OR],,6.0,2.0,"Yes, have cell phone",,,,All or almost all calls on a cell phone,,Dual/most cell,Dual from LL,4.482758620689656,5.583333333333334,,2.5517241379310347
100086.0,Landline,50113.0,130501.0,1.0,No,English,Initial Version,Midwest,Missouri,2.0,Urban,Midwest,Missouri,U,Female,White,Some important issues today,,,Form 2,,,,Wrong track,Approve,Disapprove,Disapprove,Not able to get things done,Not a strong leader,,Fights hard,Only a little,Some,Only a little,Some,A lot,Completely rebuilt,,,,Completely rebuilt,Works pretty well/Only minor changes,Works pretty well/Only minor changes,1. Poor people today have it easy because they can get government benefits without doing anything in return [OR],2. Homosexuality should be discouraged by society,Don't know/Refused (VOL.),Republican Party,Republican Party,Democratic Party,Not working together,Republican leaders in Congress,They should not be allowed to stay in the country legally [OR],,Decreased,,Decreased,Decreased,A lot,Don't think of it this way,Favor,,,,,,Inevitable,Protect the right of Americans to own guns,"Not too likely, or","No, would not",Favor,Oppose,,Oppose,No,Yes,No,No,,No,,,,Not at all,Too little,Should,,,,,,"Yes, someone else",Mostly favorable,Mostly favorable,Being gay or lesbian is just the way that some people choose to live?,"No, no conflict",Yes,[VOL. DO NOT READ] Dont know/Refused,Yes,Yes,,It Doesn't bother you to be around homosexuals [OR],,,,,,Answer given,BECAUSE OF WHAT THE BIBLE SAYS A MAN SHOULD NOT LAY WITH ANOTHER MAN,Morally wrong,Man and a woman/Life is about creating life (biology),,Is a sin,Female,57.0,55-64,50-64,High school graduate (Grade 12 with diploma or GED certificate),HS grad or less,No,"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",,,,White,"White, non-Hisp",,"Yes, born in U.S. (includes Puerto Rico and Other U.S. Territories)","One: Heterosexual or straight,","Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, etc.)",,"Yes, would",Once a week,Very important,Married,,,No,Yes,,"20 to under $30,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,Conservative,,2.0,2.0,"No, do not","Yes, someone in household has cell phone",,,All or almost all calls on a regular home phone,,"Dual/few, some cell",LLO,4.172413793103448,7.916666666666667,,5.344827586206897
100087.0,Landline,50113.0,130501.0,1.0,No,English,Initial Version,West,Utah,2.0,Suburban,West,Utah,S,Female,Black or African-American,Some important issues today,,,Form 1,,,Satisfied,,Disapprove,Disapprove,Disapprove,Not able to get things done,A strong leader,Doesn’t stand up for what he believes in,,Only a little,A lot,Some,A lot,A lot,Completely rebuilt,Completely rebuilt,Major changes,Major changes,,,,2. Poor people have hard lives because government benefits Don't go far enough to help them live decently,1. Homosexuality should be accepted by society [OR],1. The Islamic religion is more likely than others to encourage violence among its believers [OR],Republican Party,Democratic Party,Democratic Party,Not working together,Barack Obama [OR],They should not be allowed to stay in the country legally [OR],,Decreased,Increased,,,A lot,Like rewarding them for doing something wrong,Strongly favor,Strongly favor,,,,,Not inevitable,Protect the right of Americans to own guns,Very likely,"No, would not",Favor,Oppose,Favor,,Yes,Yes,No,Yes,Yes,No,,Yes,"Yes, about background checks",Somewhat,Too little,Should,,,,,,"Yes, respondent",Mostly unfavorable,Mostly unfavorable,Being gay or lesbian is just the way that some people choose to live?,"No, no conflict",Yes,Some [OR],No,No,Not upset,It makes you uncomfortable to be around homosexuals,Answer given,ELLEN DEGENERES ROSIE ODONNELL,Ellen DeGeneres,Rosie O'Donnell,,,,,,,Is not a sin,Male,66.0,65+,65+,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD...)",Coll+,No,"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",,,,White,"White, non-Hisp",,"Yes, born in U.S. (includes Puerto Rico and Other U.S. Territories)","One: Heterosexual or straight,",Mormon (Church of Jesus Christ of Latter-day Saints/LDS),,"Yes, would",Once or twice a month,Very important,Married,,,No,Yes,,"50 to under $75,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Independent,Democrat,Liberal [OR],,3.0,3.0,"Yes, have cell phone",,,,Some on a cell phone and some on a regular home phone,,"Dual/few, some cell",Dual from LL,1.3448275862068968,2.0,,1.1379310344827587
