,Unnamed: 0,year,newspaper,count,newspaper_type
110,110,2008,מקור ראשון הצופה,2,
131,131,2011,מקור ראשון הצופה,2,
132,132,2011,מקור ראשון,1,
146,146,2012,מקור ראשון הצופה,1,
154,154,2013,מקור ראשון יומן,1,
163,163,2013,מקור ראשון הצופה,2,
173,173,2014,מקור ראשון,2,
179,179,2015,מקור ראשון יומן,2,
181,181,2015,מקור ראשון צדק,1,
188,188,2015,מקור ראשון,1,
203,203,2016,מקור ראשון,1,
206,206,2017,מקור ראשון יומן,3,
214,214,2017,מקור ראשון דיוקן,1,
216,216,2018,מקור ראשון יומן,2,
223,223,2018,מקור ראשון דיוקן,1,
224,224,2018,מקור ראשון,2,
230,230,2019,מקור ראשון יומן,4,
239,239,2019,מקור ראשון,3,
241,241,2019,"מקור ראשון, ועידת מקור ראשון",1,
247,247,2020,מקור ראשון יומן,1,
260,260,2021,מקור ראשון יומן,2,
274,274,2022,מקור ראשון יומן,2,
