,Unnamed: 0,year,newspaper,count,newspaper_type
0,0,1993,מעריב סופשבוע,1,
2,2,1993,מעריב היום,1,
5,5,1994,מעריב עסקים המגזין,1,
11,11,1995,מעריב עסקים,1,
13,13,1995,"מעריב,",1,
14,14,1995,מעריב היום,1,
18,18,1996,מעריב עסקים,1,
20,20,1996,"מעריב,",1,
22,22,1997,מעריב עסקים של סופשבוע,1,
24,24,1997,מעריב עסקים,1,
28,28,1998,מעריב עסקים,1,
30,30,1998,מעריב היום,2,
39,39,2000,מעריב עסקים המגזין,1,
41,41,2000,מעריב מוסף שבת,1,
47,47,2001,מעריב עסקים,1,
50,50,2001,"מעריב,",2,
67,67,2004,מעריב עסקים של סופשבוע,2,
68,68,2004,מעריב סופשבוע,1,
73,73,2004,מעריב המגזין,2,
74,74,2004,"מעריב,",4,
76,76,2004,מעריב היום,1,
83,83,2005,"מעריב,",7,
86,86,2006,מעריב עסקים של סופשבוע,1,
90,90,2006,"מעריב,",2,
93,93,2006,"מעריב עסקים יום כיפור תשס""ז",1,
94,94,2006,מעריב מוסף שבת,1,
96,96,2007,מעריב עסקים של סופשבוע,1,
101,101,2007,"מעריב,",3,
109,109,2008,"מעריב,",1,
116,116,2009,"מעריב,",2,
123,123,2010,"מעריב,",2,
128,128,2011,מעריב עסקים,2,
130,130,2011,"מעריב,",13,
135,135,2011,מעריב עסקים מגזין שישי,1,
137,137,2011,מעריב המגזין,1,
142,142,2012,מעריב עסקים,1,
145,145,2012,"מעריב,",5,
148,148,2012,מעריב עסקים מגזין שישי,1,
151,151,2012,מעריב המגזין,1,
160,160,2013,"מעריב, גלובס על הבוקר",1,
162,162,2013,"מעריב,",15,
164,164,2014,מעריב השבוע המגזין,1,
169,169,2014,מעריב השבוע,4,
171,171,2014,"מעריב,",1,
172,172,2014,"מעריב, 100 גוונים של ירוק",1,
174,174,2014,מעריב סופהשבוע,1,
176,176,2014,"מעריב, גלובס על הבוקר",3,
177,177,2014,מעריב סופהשנה,1,
178,178,2015,מעריב השבוע המגזין,4,
185,185,2015,מעריב השבוע,24,
190,190,2015,מעריב סופהשבוע,1,
193,193,2016,מעריב סופהשבוע גלובס,2,
201,201,2016,מעריב השבוע,12,
205,205,2017,מעריב סופהשבוע גלובס,1,
211,211,2017,מעריב השבוע,10,
217,217,2018,מעריב השבוע המגזין,1,
219,219,2018,מעריב עסקים,4,
222,222,2018,מעריב השבוע,3,
229,229,2019,מעריב השבוע המגזין,4,
234,234,2019,מעריב עסקים,4,
237,237,2019,מעריב השבוע,21,
242,242,2019,מעריב סופהשבוע,1,
248,248,2020,מעריב השבוע המגזין,1,
253,253,2020,מעריב השבוע,13,
257,257,2020,מעריב סופהשבוע,2,
266,266,2021,מעריב השבוע,7,
280,280,2022,מעריב עסקים,1,
281,281,2022,מעריב השבוע,4,
