year,"דבר,",הארץ,העיר,הצופה,זמן תל אביב,ידיעות,יתד,מעריב,מקור ראשון
1993,,1.0,,,,,,2.0,
1994,1.0,1.0,,,,3.0,,1.0,
1995,,4.0,1.0,,,2.0,,3.0,
1996,,3.0,,,,3.0,,2.0,
1997,,11.0,,,,6.0,,2.0,
1998,,7.0,,,,2.0,,3.0,
1999,,11.0,,,,5.0,,,
2000,,5.0,,,,3.0,,2.0,
2001,,5.0,,2.0,,6.0,1.0,3.0,
2002,,4.0,,,,4.0,2.0,,
2003,,7.0,,1.0,,4.0,1.0,,
2004,,4.0,,,,7.0,5.0,9.0,
2005,,11.0,,1.0,,8.0,2.0,6.0,
2006,,3.0,,,,3.0,3.0,5.0,
2007,,6.0,,,,5.0,,4.0,
2008,,3.0,,3.0,,6.0,6.0,1.0,
2009,,3.0,,,,8.0,1.0,2.0,
2010,,15.0,,,,9.0,4.0,2.0,
2011,,17.0,,2.0,1.0,11.0,10.0,17.0,1.0
2012,,6.0,,,1.0,6.0,4.0,7.0,
2013,,3.0,,2.0,,8.0,1.0,13.0,1.0
2014,,8.0,,,,5.0,1.0,12.0,2.0
2015,,7.0,,,,13.0,,22.0,3.0
2016,,38.0,,,,3.0,5.0,13.0,1.0
2017,,30.0,,,,,1.0,10.0,4.0
2018,,10.0,,,,4.0,3.0,7.0,5.0
2019,,16.0,,,,21.0,15.0,25.0,8.0
2020,,16.0,,,,27.0,2.0,11.0,1.0
2021,,15.0,,,,32.0,,3.0,2.0
