,Unnamed: 0,year,newspaper,count,newspaper_type
48,48,2001,יתד נאמן,3,
55,55,2002,יתד השבוע,1,
56,56,2002,יתד נאמן,1,
62,62,2003,יתד נאמן,1,
71,71,2004,יתד השבוע,4,
72,72,2004,יתד נאמן,1,
81,81,2005,יתד השבוע,3,
88,88,2006,יתד השבוע,3,
89,89,2006,יתד נאמן,1,
98,98,2007,יתד השבוע,1,
106,106,2008,יתד השבוע,5,
108,108,2008,יתד נאמן,1,
114,114,2009,יתד השבוע,2,
120,120,2010,יתד השבוע,4,
126,126,2011,יתד השבוע,6,
129,129,2011,יתד נאמן,4,
138,138,2012,יתד השבוע אקטואלי,2,
143,143,2012,יתד נאמן,2,
152,152,2012,יתד השבוע מגזין,1,
157,157,2013,יתד השבוע,1,
168,168,2014,יתד נאמן,1,
199,199,2016,יתד השבוע,4,
200,200,2016,יתד נאמן,1,
210,210,2017,יתד נאמן,1,
220,220,2018,יתד השבוע,1,
221,221,2018,יתד נאמן,2,
235,235,2019,יתד השבוע,1,
236,236,2019,יתד נאמן,15,
251,251,2020,יתד נאמן,4,
