,Unnamed: 0,year,newspaper,count,newspaper_type
3,3,1994,"ידיעות אחרונות,",2,
6,6,1994,ידיעות אחרונות 24 שעות,2,
9,9,1995,ידיעות אחרונות 7 ימים,1,
12,12,1995,ידיעות אחרונות 24 שעות,1,
15,15,1996,"ידיעות אחרונות,",1,
17,17,1996,ידיעות אחרונות ממון,1,
19,19,1996,ידיעות אחרונות 24 שעות,1,
21,21,1997,"ידיעות אחרונות,",4,
25,25,1997,ידיעות אחרונות מגזין ממון,2,
26,26,1998,"ידיעות אחרונות,",1,
29,29,1998,ידיעות אחרונות 24 שעות,1,
31,31,1999,"ידיעות אחרונות,",2,
33,33,1999,ידיעות אחרונות 24 שעות,1,
34,34,1999,ידיעות אחרונות כלכלה,1,
35,35,1999,ידיעות אחרונות מגזין ממון,1,
36,36,2000,ידיעות אחרונות המוסף לשבת,1,
37,37,2000,"ידיעות אחרונות,",2,
40,40,2000,ידיעות אחרונות 24 שעות,1,
42,42,2001,"ידיעות אחרונות,",4,
44,44,2001,ידיעות אחרונות 7 ימים,1,
49,49,2001,ידיעות אחרונות 24 שעות,1,
51,51,2001,ידיעות אחרונות מגזין ממון,1,
52,52,2002,"ידיעות אחרונות,",1,
53,53,2002,ידיעות אחרונות 7 ימים,1,
57,57,2002,ידיעות אחרונות 24 שעות,2,
58,58,2002,ידיעות אחרונות כלכלה,1,
59,59,2003,"ידיעות אחרונות,",3,
63,63,2003,ידיעות אחרונות 24 שעות,1,
64,64,2003,ידיעות אחרונות כלכלה,1,
65,65,2004,ידיעות אחרונות המוסף לשבת,1,
66,66,2004,"ידיעות אחרונות,",5,
69,69,2004,ידיעות אחרונות 7 ימים,1,
75,75,2004,ידיעות אחרונות כלכלה,2,
77,77,2005,"ידיעות אחרונות,",4,
78,78,2005,ידיעות אחרונות 7 ימים,1,
82,82,2005,ידיעות אחרונות 24 שעות,2,
84,84,2005,ידיעות אחרונות כלכלה,1,
85,85,2006,"ידיעות אחרונות,",1,
91,91,2006,ידיעות אחרונות כלכלה,1,
92,92,2006,ידיעות אחרונות מגזין ממון,1,
95,95,2007,"ידיעות אחרונות,",3,
100,100,2007,ידיעות אחרונות 24 שעות,1,
102,102,2007,ידיעות אחרונות כלכלה,1,
103,103,2008,"ידיעות אחרונות,",4,
107,107,2008,ידיעות אחרונות ממון,3,
111,111,2009,"ידיעות אחרונות,",3,
113,113,2009,ידיעות אחרונות ממון,5,
117,117,2010,"ידיעות אחרונות,",3,
119,119,2010,ידיעות אחרונות ממון,7,
133,133,2011,"ידיעות אחרונות,",7,
134,134,2011,ידיעות אחרונות המוסף לשבת,1,
136,136,2011,ידיעות אחרונות ממון,4,
144,144,2012,ידיעות תל-אביב,1,
147,147,2012,"ידיעות אחרונות,",2,
149,149,2012,ידיעות אחרונות 7 ימים,1,
150,150,2012,ידיעות אחרונות ממון,3,
153,153,2013,ידיעות אחרונות המוסף לשבת,1,
155,155,2013,"ידיעות אחרונות,",8,
158,158,2013,ידיעות אחרונות ממון,1,
175,175,2014,ידיעות אחרונות ממון,5,
187,187,2015,ידיעות אחרונות 24 שעות,1,
189,189,2015,"ידיעות אחרונות,",6,
191,191,2015,ידיעות אחרונות ממון,9,
194,194,2016,"ידיעות אחרונות,",1,
198,198,2016,ידיעות אחרונות ממון,5,
213,213,2017,ידיעות אחרונות 24 שעות,1,
225,225,2018,"ידיעות אחרונות,",1,
227,227,2018,ידיעות אחרונות ממון,4,
238,238,2019,ידיעות אחרונות 24 שעות,2,
240,240,2019,"ידיעות אחרונות,",14,
244,244,2019,ידיעות אחרונות ממון,9,
245,245,2019,ידיעות אחרונות ממון שישי,2,
252,252,2020,ידיעות אחרונות תל-אביב,1,
254,254,2020,ידיעות אחרונות ממון שלישי,7,
255,255,2020,"ידיעות אחרונות,",22,
256,256,2020,ידיעות אחרונות המוסף לשבת,1,
258,258,2020,ידיעות אחרונות ממון שישי,1,
261,261,2021,ידיעות אחרונות ממון חג,1,
267,267,2021,ידיעות אחרונות ממון שלישי,8,
268,268,2021,ידיעות תל-אביב,1,
270,270,2021,"ידיעות אחרונות,",26,
271,271,2021,ידיעות אחרונות המוסף לשבת,1,
272,272,2021,ידיעות אחרונות ממון שישי,3,
275,275,2022,"ידיעות אחרונות,",12,
