,Unnamed: 0,newspaper,year,total_articles,public_transport_articles,public_transport_percentage
0,0,Yedioth,1993,1113,0,0.0
1,1,Yedioth,1994,2339,4,0.0017101325352714834
2,2,Yedioth,1995,2601,2,0.0007689350249903883
3,3,Yedioth,1996,3163,3,0.0009484666455896301
4,4,Yedioth,1997,3275,6,0.00183206106870229
5,5,Yedioth,1998,3707,2,0.0005395198273536552
6,6,Yedioth,1999,3480,5,0.0014367816091954023
7,7,Yedioth,2000,3160,4,0.0012658227848101266
8,8,Yedioth,2001,3922,7,0.0017848036715961244
9,9,Yedioth,2002,3689,5,0.0013553808620222283
10,10,Yedioth,2003,3743,5,0.0013358268768367619
11,11,Yedioth,2004,3768,9,0.0023885350318471337
12,12,Yedioth,2005,4069,8,0.001966085033177685
13,13,Yedioth,2006,4191,3,0.0007158196134574087
14,14,Yedioth,2007,4468,5,0.0011190689346463742
15,15,Yedioth,2008,4474,7,0.0015645954403218597
16,16,Yedioth,2009,4572,8,0.0017497812773403325
17,17,Yedioth,2010,4426,10,0.0022593764121102574
18,18,Yedioth,2011,4130,12,0.0029055690072639223
19,19,Yedioth,2012,2429,7,0.002881844380403458
20,20,Yedioth,2013,3052,10,0.00327653997378768
21,21,Yedioth,2014,2829,5,0.0017674089784376105
22,22,Yedioth,2015,3068,16,0.005215123859191656
23,23,Yedioth,2016,3100,6,0.001935483870967742
24,24,Yedioth,2017,2367,1,0.0004224757076468103
25,25,Yedioth,2018,2197,5,0.002275830678197542
26,26,Yedioth,2019,3372,27,0.00800711743772242
27,27,Yedioth,2020,6186,32,0.005172971225347559
28,28,Yedioth,2021,8659,40,0.0046194710705624205
29,29,Yedioth,2022,3684,12,0.003257328990228013
30,30,Haaretz,1993,1780,1,0.0005617977528089888
31,31,Haaretz,1994,2625,1,0.00038095238095238096
32,32,Haaretz,1995,2964,4,0.001349527665317139
33,33,Haaretz,1996,2833,6,0.002117896223085069
34,34,Haaretz,1997,3769,12,0.003183868400106129
35,35,Haaretz,1998,3991,7,0.0017539463793535455
36,36,Haaretz,1999,4478,12,0.0026797677534613666
37,37,Haaretz,2000,5410,6,0.0011090573012939
38,38,Haaretz,2001,5795,7,0.0012079378774805867
39,39,Haaretz,2002,5081,4,0.000787246604999016
40,40,Haaretz,2003,4908,9,0.0018337408312958435
41,41,Haaretz,2004,5211,4,0.0007676069852235655
42,42,Haaretz,2005,5156,11,0.002133436772692009
43,43,Haaretz,2006,6178,3,0.00048559404337973454
44,44,Haaretz,2007,6255,8,0.001278976818545164
45,45,Haaretz,2008,5457,3,0.0005497526113249038
46,46,Haaretz,2009,5260,4,0.0007604562737642585
47,47,Haaretz,2010,5770,16,0.0027729636048526864
48,48,Haaretz,2011,5481,17,0.0031016237912789638
49,49,Haaretz,2012,4469,7,0.0015663459386887446
50,50,Haaretz,2013,5403,3,0.000555247084952804
51,51,Haaretz,2014,6660,8,0.0012012012012012011
52,52,Haaretz,2015,6142,11,0.0017909475740801042
53,53,Haaretz,2016,4887,44,0.009003478616738286
54,54,Haaretz,2017,5120,36,0.00703125
55,55,Haaretz,2018,7057,11,0.001558736006801757
56,56,Haaretz,2019,6583,22,0.0033419413641197025
57,57,Haaretz,2020,7274,19,0.0026120428924938134
58,58,Haaretz,2021,6993,21,0.003003003003003003
59,59,Haaretz,2022,2592,7,0.002700617283950617
60,60,Maariv,1993,1418,2,0.0014104372355430183
61,61,Maariv,1994,2901,1,0.0003447087211306446
62,62,Maariv,1995,4005,3,0.000749063670411985
63,63,Maariv,1996,3432,2,0.0005827505827505828
64,64,Maariv,1997,3199,2,0.0006251953735542357
65,65,Maariv,1998,3115,3,0.0009630818619582664
66,66,Maariv,1999,2936,0,0.0
67,67,Maariv,2000,2895,2,0.000690846286701209
68,68,Maariv,2001,2875,3,0.0010434782608695651
69,69,Maariv,2002,2375,0,0.0
70,70,Maariv,2003,2415,0,0.0
71,71,Maariv,2004,4040,10,0.0024752475247524753
72,72,Maariv,2005,5043,7,0.001388062661114416
73,73,Maariv,2006,4476,5,0.0011170688114387846
74,74,Maariv,2007,3859,4,0.0010365379632029023
75,75,Maariv,2008,4557,1,0.00021944261575597982
76,76,Maariv,2009,4734,2,0.0004224757076468103
77,77,Maariv,2010,4335,2,0.000461361014994233
78,78,Maariv,2011,4814,17,0.003531366846697133
79,79,Maariv,2012,5284,8,0.001514004542013626
80,80,Maariv,2013,4639,16,0.0034490191851692174
81,81,Maariv,2014,4725,12,0.0025396825396825397
82,82,Maariv,2015,6158,29,0.0047093212081844756
83,83,Maariv,2016,5366,14,0.002609019754006709
84,84,Maariv,2017,4982,11,0.0022079486150140505
85,85,Maariv,2018,5036,8,0.0015885623510722795
86,86,Maariv,2019,4768,30,0.006291946308724832
87,87,Maariv,2020,4247,16,0.0037673651989639746
88,88,Maariv,2021,4567,7,0.001532734836873221
89,89,Maariv,2022,1583,5,0.003158559696778269
90,90,Yated,1993,0,0,
91,91,Yated,1994,0,0,
92,92,Yated,1995,0,0,
93,93,Yated,1996,0,0,
94,94,Yated,1997,0,0,
95,95,Yated,1998,0,0,
96,96,Yated,1999,0,0,
97,97,Yated,2000,80,0,0.0
98,98,Yated,2001,533,3,0.005628517823639775
99,99,Yated,2002,694,2,0.002881844380403458
100,100,Yated,2003,730,1,0.0013698630136986301
101,101,Yated,2004,752,5,0.006648936170212766
102,102,Yated,2005,656,3,0.004573170731707317
103,103,Yated,2006,646,4,0.006191950464396285
104,104,Yated,2007,686,1,0.0014577259475218659
