,Unnamed: 0,year,newspaper,count,newspaper_normalized_name
0,0,1993,מעריב סופשבוע,1,מעריב
1,1,1993,מוסף הארץ,1,הארץ
2,2,1993,מעריב היום,1,מעריב
3,3,1994,"ידיעות אחרונות,",2,ידיעות
4,4,1994,הארץ,1,הארץ
5,5,1994,מעריב עסקים המגזין,1,מעריב
6,6,1994,ידיעות אחרונות 24 שעות,2,ידיעות
7,7,1994,"דבר,",1,"דבר,"
8,8,1995,העיר,1,העיר
9,9,1995,ידיעות אחרונות 7 ימים,1,ידיעות
10,10,1995,"""הארץ"",",4,הארץ
11,11,1995,מעריב עסקים,1,מעריב
12,12,1995,ידיעות אחרונות 24 שעות,1,ידיעות
13,13,1995,"מעריב,",1,מעריב
14,14,1995,מעריב היום,1,מעריב
15,15,1996,"ידיעות אחרונות,",1,ידיעות
16,16,1996,הארץ,6,הארץ
17,17,1996,ידיעות אחרונות ממון,1,ידיעות
18,18,1996,מעריב עסקים,1,מעריב
19,19,1996,ידיעות אחרונות 24 שעות,1,ידיעות
20,20,1996,"מעריב,",1,מעריב
21,21,1997,"ידיעות אחרונות,",4,ידיעות
22,22,1997,מעריב עסקים של סופשבוע,1,מעריב
23,23,1997,"""הארץ"",",12,הארץ
24,24,1997,מעריב עסקים,1,מעריב
25,25,1997,ידיעות אחרונות מגזין ממון,2,ידיעות
26,26,1998,"ידיעות אחרונות,",1,ידיעות
27,27,1998,"""הארץ"",",7,הארץ
28,28,1998,מעריב עסקים,1,מעריב
29,29,1998,ידיעות אחרונות 24 שעות,1,ידיעות
30,30,1998,מעריב היום,2,מעריב
31,31,1999,"ידיעות אחרונות,",2,ידיעות
32,32,1999,"""הארץ"",",12,הארץ
33,33,1999,ידיעות אחרונות 24 שעות,1,ידיעות
34,34,1999,ידיעות אחרונות כלכלה,1,ידיעות
35,35,1999,ידיעות אחרונות מגזין ממון,1,ידיעות
36,36,2000,ידיעות אחרונות המוסף לשבת,1,ידיעות
37,37,2000,"ידיעות אחרונות,",2,ידיעות
38,38,2000,הארץ,6,הארץ
39,39,2000,מעריב עסקים המגזין,1,מעריב
