,newspaper,year,total_articles,public_transport_articles
0,Yedioth,1993,1113,0
1,Yedioth,1994,2339,4
2,Yedioth,1995,2601,2
3,Yedioth,1996,3163,3
4,Yedioth,1997,3275,6
5,Yedioth,1998,3707,2
6,Yedioth,1999,3480,5
7,Yedioth,2000,3160,4
8,Yedioth,2001,3922,7
9,Yedioth,2002,3689,5
10,Yedioth,2003,3743,5
11,Yedioth,2004,3768,9
12,Yedioth,2005,4069,8
13,Yedioth,2006,4191,3
14,Yedioth,2007,4468,5
15,Yedioth,2008,4474,7
16,Yedioth,2009,4572,8
17,Yedioth,2010,4426,10
18,Yedioth,2011,4130,12
19,Yedioth,2012,2429,7
20,Yedioth,2013,3052,10
21,Yedioth,2014,2829,5
22,Yedioth,2015,3068,16
23,Yedioth,2016,3100,6
24,Yedioth,2017,2367,1
25,Yedioth,2018,2197,5
26,Yedioth,2019,3372,27
27,Yedioth,2020,6186,32
28,Yedioth,2021,8659,40
29,Yedioth,2022,3684,12
30,Haaretz,1993,1780,1
31,Haaretz,1994,2625,1
32,Haaretz,1995,2964,4
33,Haaretz,1996,2833,6
34,Haaretz,1997,3769,12
35,Haaretz,1998,3991,7
36,Haaretz,1999,4478,12
37,Haaretz,2000,5410,6
38,Haaretz,2001,5795,7
39,Haaretz,2002,5081,4
40,Haaretz,2003,4908,9
41,Haaretz,2004,5211,4
42,Haaretz,2005,5156,11
43,Haaretz,2006,6178,3
44,Haaretz,2007,6255,8
45,Haaretz,2008,5457,3
46,Haaretz,2009,5260,4
47,Haaretz,2010,5770,16
48,Haaretz,2011,5481,17
49,Haaretz,2012,4469,7
50,Haaretz,2013,5403,3
51,Haaretz,2014,6660,8
52,Haaretz,2015,6142,11
53,Haaretz,2016,4887,44
54,Haaretz,2017,5120,36
55,Haaretz,2018,7057,11
56,Haaretz,2019,6583,22
57,Haaretz,2020,7274,19
58,Haaretz,2021,6993,21
59,Haaretz,2022,2592,7
60,Maariv,1993,1418,2
61,Maariv,1994,2901,1
62,Maariv,1995,4005,3
63,Maariv,1996,3432,2
64,Maariv,1997,3199,2
65,Maariv,1998,3115,3
66,Maariv,1999,2936,0
67,Maariv,2000,2895,2
68,Maariv,2001,2875,3
69,Maariv,2002,2375,0
70,Maariv,2003,2415,0
71,Maariv,2004,4040,10
72,Maariv,2005,5043,7
73,Maariv,2006,4476,5
74,Maariv,2007,3859,4
75,Maariv,2008,4557,1
76,Maariv,2009,4734,2
77,Maariv,2010,4335,2
78,Maariv,2011,4814,17
79,Maariv,2012,5284,8
80,Maariv,2013,4639,16
81,Maariv,2014,4725,12
82,Maariv,2015,6158,29
83,Maariv,2016,5366,14
84,Maariv,2017,4982,11
85,Maariv,2018,5036,8
86,Maariv,2019,4768,30
87,Maariv,2020,4247,16
88,Maariv,2021,4567,7
89,Maariv,2022,1583,5
90,Yated,1993,0,0
91,Yated,1994,0,0
92,Yated,1995,0,0
93,Yated,1996,0,0
94,Yated,1997,0,0
95,Yated,1998,0,0
96,Yated,1999,0,0
97,Yated,2000,80,0
98,Yated,2001,533,3
99,Yated,2002,694,2
100,Yated,2003,730,1
101,Yated,2004,752,5
102,Yated,2005,656,3
103,Yated,2006,646,4
104,Yated,2007,686,1
105,Yated,2008,817,6
106,Yated,2009,794,2
107,Yated,2010,884,4
108,Yated,2011,947,10
109,Yated,2012,711,5
110,Yated,2013,445,1
111,Yated,2014,439,1
112,Yated,2015,486,0
113,Yated,2016,916,5
114,Yated,2017,1091,1
115,Yated,2018,942,3
116,Yated,2019,1127,16
117,Yated,2020,369,4
118,Yated,2021,0,0
119,Yated,2022,0,0
120,Makor,1993,0,0
121,Makor,1994,0,0
122,Makor,1995,0,0
123,Makor,1996,0,0
124,Makor,1997,0,0
125,Makor,1998,0,0
126,Makor,1999,0,0
127,Makor,2000,1,0
128,Makor,2001,39,0
129,Makor,2002,0,0
130,Makor,2003,0,0
131,Makor,2004,0,0
132,Makor,2005,4,0
133,Makor,2006,5,0
134,Makor,2007,1830,0
135,Makor,2008,2682,2
136,Makor,2009,3115,0
137,Makor,2010,3022,0
138,Makor,2011,3325,3
139,Makor,2012,2782,1
140,Makor,2013,1745,3
141,Makor,2014,1270,2
142,Makor,2015,1382,4
143,Makor,2016,1554,1
144,Makor,2017,1824,4
145,Makor,2018,1803,5
146,Makor,2019,1677,8
147,Makor,2020,1590,1
148,Makor,2021,1464,2
149,Makor,2022,580,2
