,year,newspaper,count
0,1993,מעריב סופשבוע,1
1,1993,מוסף הארץ,1
2,1993,מעריב היום,1
3,1994,"ידיעות אחרונות,",2
4,1994,הארץ,1
5,1994,מעריב עסקים המגזין,1
6,1994,ידיעות אחרונות 24 שעות,2
7,1994,"דבר,",1
8,1995,העיר,1
9,1995,ידיעות אחרונות 7 ימים,1
10,1995,"""הארץ"",",4
11,1995,מעריב עסקים,1
12,1995,ידיעות אחרונות 24 שעות,1
13,1995,"מעריב,",1
14,1995,מעריב היום,1
15,1996,"ידיעות אחרונות,",1
16,1996,הארץ,6
17,1996,ידיעות אחרונות ממון,1
18,1996,מעריב עסקים,1
19,1996,ידיעות אחרונות 24 שעות,1
20,1996,"מעריב,",1
21,1997,"ידיעות אחרונות,",4
22,1997,מעריב עסקים של סופשבוע,1
23,1997,"""הארץ"",",12
24,1997,מעריב עסקים,1
25,1997,ידיעות אחרונות מגזין ממון,2
26,1998,"ידיעות אחרונות,",1
27,1998,"""הארץ"",",7
28,1998,מעריב עסקים,1
29,1998,ידיעות אחרונות 24 שעות,1
30,1998,מעריב היום,2
31,1999,"ידיעות אחרונות,",2
32,1999,"""הארץ"",",12
33,1999,ידיעות אחרונות 24 שעות,1
34,1999,ידיעות אחרונות כלכלה,1
35,1999,ידיעות אחרונות מגזין ממון,1
36,2000,ידיעות אחרונות המוסף לשבת,1
37,2000,"ידיעות אחרונות,",2
38,2000,הארץ,6
39,2000,מעריב עסקים המגזין,1
40,2000,ידיעות אחרונות 24 שעות,1
41,2000,מעריב מוסף שבת,1
42,2001,"ידיעות אחרונות,",4
43,2001,הצופה השבוע,1
44,2001,ידיעות אחרונות 7 ימים,1
45,2001,הארץ,7
46,2001,הצופה,2
47,2001,מעריב עסקים,1
48,2001,יתד נאמן,3
49,2001,ידיעות אחרונות 24 שעות,1
50,2001,"מעריב,",2
51,2001,ידיעות אחרונות מגזין ממון,1
52,2002,"ידיעות אחרונות,",1
53,2002,ידיעות אחרונות 7 ימים,1
54,2002,הארץ,4
55,2002,יתד השבוע,1
56,2002,יתד נאמן,1
57,2002,ידיעות אחרונות 24 שעות,2
58,2002,ידיעות אחרונות כלכלה,1
59,2003,"ידיעות אחרונות,",3
60,2003,"""הארץ"",",9
61,2003,הצופה,2
62,2003,יתד נאמן,1
63,2003,ידיעות אחרונות 24 שעות,1
64,2003,ידיעות אחרונות כלכלה,1
65,2004,ידיעות אחרונות המוסף לשבת,1
66,2004,"ידיעות אחרונות,",5
67,2004,מעריב עסקים של סופשבוע,2
68,2004,מעריב סופשבוע,1
69,2004,ידיעות אחרונות 7 ימים,1
70,2004,"""הארץ"",",4
71,2004,יתד השבוע,4
72,2004,יתד נאמן,1
73,2004,מעריב המגזין,2
74,2004,"מעריב,",4
75,2004,ידיעות אחרונות כלכלה,2
76,2004,מעריב היום,1
77,2005,"ידיעות אחרונות,",4
78,2005,ידיעות אחרונות 7 ימים,1
79,2005,"""הארץ"",",11
80,2005,הצופה,2
81,2005,יתד השבוע,3
82,2005,ידיעות אחרונות 24 שעות,2
83,2005,"מעריב,",7
84,2005,ידיעות אחרונות כלכלה,1
85,2006,"ידיעות אחרונות,",1
86,2006,מעריב עסקים של סופשבוע,1
87,2006,הארץ,3
88,2006,יתד השבוע,3
89,2006,יתד נאמן,1
90,2006,"מעריב,",2
91,2006,ידיעות אחרונות כלכלה,1
92,2006,ידיעות אחרונות מגזין ממון,1
93,2006,"מעריב עסקים יום כיפור תשס""ז",1
94,2006,מעריב מוסף שבת,1
95,2007,"ידיעות אחרונות,",3
96,2007,מעריב עסקים של סופשבוע,1
97,2007,הארץ,7
98,2007,יתד השבוע,1
99,2007,הארץ מגזין מרקר,1
100,2007,ידיעות אחרונות 24 שעות,1
101,2007,"מעריב,",3
102,2007,ידיעות אחרונות כלכלה,1
103,2008,"ידיעות אחרונות,",4
104,2008,"""הארץ"",",3
105,2008,הצופה,1
106,2008,יתד השבוע,5
107,2008,ידיעות אחרונות ממון,3
108,2008,יתד נאמן,1
109,2008,"מעריב,",1
