config_id,simulation_type,num_of_agents,num_iterations,mio,mio_sigma,num_of_repetitions,switch_agent_rate,switch_agent_sigma,radical_exposure_eta,truncate_at,epsilon,mark_stubborn_at,display_name,status,timestamp,audit_every_x_iterations
61a593eb-5117-4267-a6f3-e5125a1a82b3,REPULSIVE,100,10000,0.0,NULL,300,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680872056772,250.0
cdf434b4-91f7-4551-8a56-925e961e49ca,REPULSIVE,100,10000,0.05,NULL,300,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680872056772,250.0
af38fbff-eed1-4587-a655-8c3d86a3823b,REPULSIVE,100,10000,0.1,NULL,300,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680872056772,250.0
4c8ba4bf-a3a0-44ea-ab41-f0e1aaf7f814,REPULSIVE,100,10000,0.15,NULL,300,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680872056772,250.0
944e4928-e951-45e9-8a6a-f92dc5a63e53,REPULSIVE,100,10000,0.35,NULL,300,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680872056772,250.0
4b3bb58d-438e-489f-b4e3-ac9cdc3793e6,REPULSIVE,100,10000,0.4,NULL,300,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680872056772,250.0
72863b38-fbc1-48ce-b5b6-93c2dec2df3b,REPULSIVE,100,10000,0.45,NULL,300,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680872056772,250.0
0640ea31-bb95-4008-a626-108ad1da7b25,REPULSIVE,100,10000,0.5,NULL,300,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680872056772,250.0
8bf6430c-836f-4886-adbd-8fd9aa967133,REPULSIVE,100,10000,0.2,1e-06,300,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680872252159,250.0
69dea6d0-3445-411e-b703-0a7dbece7605,REPULSIVE,100,10000,0.2,0.007765,300,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680872252159,250.0
2725ec6a-038e-43ce-b1b8-eb73b457e982,REPULSIVE,100,10000,0.2,0.015529,300,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680872252159,250.0
9d94fa95-83bf-47a0-94e7-a86040131c5f,REPULSIVE,100,10000,0.2,0.023293,300,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680872252159,250.0
ddfc51ab-24d8-4b39-81a0-6f6d43d492ef,REPULSIVE,100,10000,0.2,0.031057,300,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680872252159,250.0
94527406-a1b1-4c1e-ae79-37f17fdbe173,REPULSIVE,100,10000,0.2,0.038821,300,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680872252159,250.0
4f6e8615-dd61-492c-a5fd-df2b1d9621ad,REPULSIVE,100,10000,0.2,0.046585,300,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680872252159,250.0
69904e92-1538-4187-93a5-f4a0ecaec489,REPULSIVE,100,10000,0.2,0.054349,300,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680872252159,250.0
6ccf5891-43c2-40f9-8313-83e73865e58a,REPULSIVE,100,10000,0.2,0.062113,300,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680872252159,250.0
6167a476-93bf-44d2-83b4-367e4385e886,REPULSIVE,100,10000,0.2,0.069877,300,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680872252159,250.0
8ab61926-7b2c-49a0-bc81-209028c5a7d5,REPULSIVE,100,10000,0.2,0.077641,300,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680872252159,250.0
d40b4f84-6053-4492-95d8-c43cedafc0f8,REPULSIVE,100,10000,0.1932,0.075,300,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680872523621,250.0
1a6dbfaf-c804-4833-84e8-4852b656bcd4,REPULSIVE,100,10000,0.1932,NULL,300,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680872523621,250.0
22727fba-2eb3-4574-8936-24aa5b019100,REPULSIVE,100,10000,0.2,0.075,300,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680872523621,250.0
e82cc561-e647-4ea2-af94-612666e7ee7c,REPULSIVE,100,10000,0.2,NULL,300,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680872523621,250.0
12b89149-a6ce-4ad5-ac2f-b164a2df0243,REPULSIVE,100,10000,0.20456,0.075,300,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680872523621,250.0
0e24a23d-0e2a-4aed-925d-5e27b6517750,REPULSIVE,100,10000,0.20456,NULL,300,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680872523621,250.0
3f13c2b2-4c34-401b-a08d-9763ae1dffd8,REPULSIVE,100,10000,0.21592,0.075,300,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680872523621,250.0
b4de847d-7439-4441-ae6a-1d71d3d15bb0,REPULSIVE,100,10000,0.21592,NULL,300,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680872523621,250.0
3416bfac-d1bd-4a6c-9bee-0d31152ae544,REPULSIVE,100,10000,0.22728,0.075,300,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680872523621,250.0
800b3692-ae11-4a8d-bf12-bbc1e202066e,REPULSIVE,100,10000,0.22728,NULL,300,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680872523621,250.0
6ef1d7e9-af82-45b7-9375-c25868a01987,REPULSIVE,100,10000,0.23864,0.075,300,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680872523621,250.0
193e2d96-ec5c-4146-9717-179a0e8ebe44,REPULSIVE,100,10000,0.23864,NULL,300,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680872523621,250.0
3d18484a-bd36-4dd9-9645-c2fa17f6235d,REPULSIVE,100,10000,0.25,0.075,300,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680872523621,250.0
feb99008-239f-438c-9726-b00dc08b1a08,REPULSIVE,100,10000,0.25,NULL,300,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680872523621,250.0
d46fd101-4466-48cf-adf1-2b98b1eca0b0,REPULSIVE,100,10000,0.26136,0.075,300,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680872523621,250.0
