experiment_id,measurement_type,x,value,sample_std
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,1.0,0.980001833642052,0.0135879803765346
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,249.0,0.996622226247015,0.0091675226475369
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,499.0,0.9992576808623588,0.0033431259353877
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,749.0,0.9997584422279906,0.0005177292634475
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,999.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,1249.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,1499.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,1749.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,1999.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,2249.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,2499.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,2749.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,2999.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,3249.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,3499.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,3749.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,3999.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,4249.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,4499.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,4749.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,4999.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,5249.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,5499.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,5749.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,5999.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,6249.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,6499.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,6749.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,6999.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,7249.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,7499.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,7749.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,7999.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,8249.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,8499.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,8749.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,8999.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,9249.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,9499.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,9749.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,SPREAD,9999.0,0.9998,1.1120780351495294e-16
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,1.0,0.0824882879756849,0.0077909437266403
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,249.0,0.0872812193609042,0.008196827772947
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,499.0,0.0968002975537623,0.0089070261317782
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,749.0,0.1073146493067384,0.0100584844849839
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,999.0,0.1159053558469363,0.0108959104055382
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,1249.0,0.1222193605724468,0.0113249232935016
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,1499.0,0.1272944886312678,0.0118235481702979
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,1749.0,0.1314309292509804,0.0121852976127288
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,1999.0,0.1345160194731261,0.0123230660416778
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,2249.0,0.1364872181290276,0.0123638911658668
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,2499.0,0.138782370786045,0.0126000125472736
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,2749.0,0.1398136708752396,0.012389824429168
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,2999.0,0.1411869730902367,0.0123317491928694
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,3249.0,0.1422301357083684,0.0124590651457893
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,3499.0,0.1428714830782335,0.0123504126875311
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,3749.0,0.1436434699080883,0.0122918898907534
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,3999.0,0.1436984629650107,0.0123933318043259
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,4249.0,0.1439751118044352,0.0124142495168079
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,4499.0,0.1447028253185172,0.0127720471375824
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,4749.0,0.1447176614749714,0.0127479077067941
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,4999.0,0.1449211037292326,0.0128428569640415
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,5249.0,0.1447870980917303,0.0129718226781178
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,5499.0,0.1450850022587542,0.0128960570681549
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,5749.0,0.1450309916611973,0.0129818913347923
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,5999.0,0.1451570568449087,0.0131098900354724
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,6249.0,0.1452186052383371,0.0130997474241276
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,6499.0,0.1453960847760982,0.0130916965917656
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,6749.0,0.1454903284862929,0.0131598771188405
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,6999.0,0.145410347171209,0.0131296910769829
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,7249.0,0.1452686511275021,0.0131069999826791
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,7499.0,0.1453078858385289,0.0132649110451361
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,7749.0,0.145606091742195,0.0129184505323312
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,7999.0,0.1456421618796394,0.0130978332812316
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,8249.0,0.1454975786276497,0.0130087375175738
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,8499.0,0.1453527089771921,0.0132308750657441
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,8749.0,0.1458151002932117,0.0130619404596723
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,8999.0,0.1453955561978738,0.013136056230085
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,9249.0,0.1454748773345573,0.0131931444990977
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,9499.0,0.1455167567424843,0.0129364042586191
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,9749.0,0.1455552133668632,0.0129997135496944
557ea088-847f-4958-a7b5-7883ebf2d8f5,DISPERSION,9999.0,0.1454983348229362,0.0132195328559999
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,1.0,1.0,0.0
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,249.0,1.0,0.0
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,499.0,0.9986666666666668,0.0114889312249309
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,749.0,0.9923333333333336,0.026650636207348
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,999.0,0.973,0.0507897495781122
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,1249.0,0.945,0.0713580636238621
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,1499.0,0.9010000000000002,0.0912510594614813
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,1749.0,0.8423333333333333,0.1111262903046731
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,1999.0,0.7716666666666666,0.1246958395331555
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,2249.0,0.7013333333333334,0.1269591178855217
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,2499.0,0.6403333333333333,0.1373661302311131
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,2749.0,0.5813333333333334,0.1360634647644298
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,2999.0,0.5263333333333333,0.1261994846342967
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,3249.0,0.491,0.129130096955742
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,3499.0,0.4529999999999999,0.1275875986047458
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,3749.0,0.421,0.1207238480650728
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,3999.0,0.4096666666666665,0.1054052010588491
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,4249.0,0.3869999999999999,0.1037636238385448
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,4499.0,0.3683333333333333,0.1032768572966169
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,4749.0,0.3616666666666667,0.0982993630267278
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,4999.0,0.3466666666666667,0.0999442430957489
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,5249.0,0.3359999999999999,0.0901726326494339
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,5499.0,0.3246666666666666,0.0845500913584246
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,5749.0,0.3269999999999999,0.0867722964898768
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,5999.0,0.3253333333333333,0.0760097394451787
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,6249.0,0.3293333333333333,0.0793339047973197
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,6499.0,0.3213333333333333,0.0818569325934028
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,6749.0,0.314,0.0727206594743287
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,6999.0,0.3179999999999999,0.0767831503255307
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,7249.0,0.3196666666666666,0.0725541354031771
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,7499.0,0.3223333333333333,0.0758533761353176
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,7749.0,0.3179999999999999,0.0776494136367242
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,7999.0,0.3093333333333333,0.0787414945593513
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,8249.0,0.3113333333333333,0.0722654588585423
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,8499.0,0.3216666666666666,0.0733609454451817
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,8749.0,0.3056666666666667,0.0758533761353176
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,8999.0,0.3163333333333333,0.0756237532950482
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,9249.0,0.3143333333333333,0.0764681643304964
557ea088-847f-4958-a7b5-7883ebf2d8f5,COVERED_BINS,9499.0,0.3099999999999999,0.0747347595228382
