experiment_id,measurement_type,x,value
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,1.0,0.9827505092704344
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,249.0,0.9628977730867092
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,499.0,0.9366324834306125
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,749.0,0.9037182064028652
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,999.0,0.8678331450656052
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,1249.0,0.8325243730124123
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,1499.0,0.7904430609974472
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,1749.0,0.750109053151724
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,1999.0,0.7151173436598826
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,2249.0,0.6778701536363021
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,2499.0,0.6466370435215045
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,2749.0,0.6219367627228205
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,2999.0,0.6044106609857707
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,3249.0,0.589434380115485
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,3499.0,0.5794832541844196
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,3749.0,0.5743802555164327
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,3999.0,0.5699178719741813
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,4249.0,0.5666760612782162
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,4499.0,0.5639651294452953
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,4749.0,0.5625976074495752
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,4999.0,0.561538697559918
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,5249.0,0.5607355745867242
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,5499.0,0.5600135159815567
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,5749.0,0.5594527203534069
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,5999.0,0.5589358955351216
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,6249.0,0.5586704379965488
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,6499.0,0.5585104666113222
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,6749.0,0.5583846135126949
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,6999.0,0.5582784447154424
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,7249.0,0.5581399167364104
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,7499.0,0.5580855481724758
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,7749.0,0.5580488101659955
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,7999.0,0.5579510618015788
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,8249.0,0.5579311337965628
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,8499.0,0.5579203590248203
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,8749.0,0.5578997297530023
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,8999.0,0.5578874214025934
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,9249.0,0.5576510642506092
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,9499.0,0.5575394103489826
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,9749.0,0.5574747187435178
5dde76b9-96e5-4dff-88f3-4f4fd6157418,SPREAD,9999.0,0.5574690649451209
5dde76b9-96e5-4dff-88f3-4f4fd6157418,DISPERSION,1.0,0.08469841641752
5dde76b9-96e5-4dff-88f3-4f4fd6157418,DISPERSION,249.0,0.0811272543068429
5dde76b9-96e5-4dff-88f3-4f4fd6157418,DISPERSION,499.0,0.0776549929555121
5dde76b9-96e5-4dff-88f3-4f4fd6157418,DISPERSION,749.0,0.07443799557872
5dde76b9-96e5-4dff-88f3-4f4fd6157418,DISPERSION,999.0,0.071345260348915
5dde76b9-96e5-4dff-88f3-4f4fd6157418,DISPERSION,1249.0,0.0685751554692625
5dde76b9-96e5-4dff-88f3-4f4fd6157418,DISPERSION,1499.0,0.0660052220966848
5dde76b9-96e5-4dff-88f3-4f4fd6157418,DISPERSION,1749.0,0.0638888197605366
5dde76b9-96e5-4dff-88f3-4f4fd6157418,DISPERSION,1999.0,0.0623513899444625
5dde76b9-96e5-4dff-88f3-4f4fd6157418,DISPERSION,2249.0,0.0612113267759828
5dde76b9-96e5-4dff-88f3-4f4fd6157418,DISPERSION,2499.0,0.0604321875066952
5dde76b9-96e5-4dff-88f3-4f4fd6157418,DISPERSION,2749.0,0.0599477557523199
5dde76b9-96e5-4dff-88f3-4f4fd6157418,DISPERSION,2999.0,0.0596651537376974
5dde76b9-96e5-4dff-88f3-4f4fd6157418,DISPERSION,3249.0,0.059507076161328
5dde76b9-96e5-4dff-88f3-4f4fd6157418,DISPERSION,3499.0,0.0594433090983481
5dde76b9-96e5-4dff-88f3-4f4fd6157418,DISPERSION,3749.0,0.0594088178774068
5dde76b9-96e5-4dff-88f3-4f4fd6157418,DISPERSION,3999.0,0.059392717683424
5dde76b9-96e5-4dff-88f3-4f4fd6157418,DISPERSION,4249.0,0.059380060917826
