config_id,simulation_type,num_of_agents,num_iterations,mio,num_of_repetitions,switch_agent_rate,switch_agent_sigma,radical_exposure_eta,truncate_at,epsilon,mark_stubborn_at,display_name,status,timestamp,audit_every_x_iterations
4e44d620-ab99-47a8-9ee9-28f7899d7876,SIMILARITY,100,10000,0.2,40,NULL,0.2,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215501400,250.0
e55302f0-10c9-4185-a46d-1fa3dd00f5af,SIMILARITY,100,10000,0.2,40,200.0,0.2,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215501400,250.0
7c12f6b4-1c6f-45b7-bbde-41b88a1e1a49,SIMILARITY,100,10000,0.2,40,150.0,0.2,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215501400,250.0
fc55e994-e8b6-4613-a5b3-71f8a24a658e,SIMILARITY,100,10000,0.2,40,100.0,0.2,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215501400,250.0
d7c2b132-53f7-4c71-a5ee-394e144cc225,SIMILARITY,100,10000,0.2,40,75.0,0.2,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215501400,250.0
42e8a5fe-b4e6-4114-bea0-3b33531569c6,SIMILARITY,100,10000,0.2,40,50.0,0.2,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215501400,250.0
1d7923e0-766c-4dcb-be3a-185c0d7c357e,SIMILARITY,100,10000,0.2,40,25.0,0.2,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215501400,250.0
974fc31a-2b56-48c5-a6e3-d405dad17fa8,SIMILARITY,100,10000,0.2,40,10.0,0.2,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215501400,250.0
75fb10de-5b9d-427e-aea3-c99f3f7b8609,SIMILARITY,100,10000,0.2,40,5.0,0.2,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215501400,250.0
ac950b14-9da6-4618-8be8-50e61a8a7b26,SIMILARITY,100,10000,0.2,40,2.0,0.2,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215501400,250.0
c149b6ac-dd5c-433f-85ed-559a8cca8bd0,REPULSIVE,100,10000,0.2,40,NULL,0.2,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215501400,250.0
7450c3a9-1456-4e16-a722-e3913346888d,REPULSIVE,100,10000,0.2,40,200.0,0.2,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215501400,250.0
0946673d-2c26-4381-8e81-dafd88efa525,REPULSIVE,100,10000,0.2,40,150.0,0.2,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215501400,250.0
e23be77e-f342-4cc0-b779-4ad8c0300c57,REPULSIVE,100,10000,0.2,40,100.0,0.2,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215501400,250.0
b30bf6bb-3859-4681-acda-756cd52f2f9b,REPULSIVE,100,10000,0.2,40,75.0,0.2,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215501400,250.0
8cfad804-61d2-4ab5-9e85-f939c425cf77,REPULSIVE,100,10000,0.2,40,50.0,0.2,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215501400,250.0
7fca2c4c-680a-410a-bf9a-5d5246c6e41b,REPULSIVE,100,10000,0.2,40,25.0,0.2,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215501400,250.0
5b63cb3d-28b7-4342-a0eb-eb4182710332,REPULSIVE,100,10000,0.2,40,10.0,0.2,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215501400,250.0
7a66f696-1c7b-496b-8fda-94297fd40e5c,REPULSIVE,100,10000,0.2,40,5.0,0.2,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215501400,250.0
f839ebd8-eb75-42d1-ba5c-c2a0a2c2cfce,REPULSIVE,100,10000,0.2,40,2.0,0.2,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215501400,250.0
