config_id,simulation_type,num_of_agents,num_iterations,mio,num_of_repetitions,switch_agent_rate,switch_agent_sigma,radical_exposure_eta,truncate_at,epsilon,mark_stubborn_at,display_name,status,timestamp,audit_every_x_iterations
11a0452e-7757-4717-9923-c5543057c0e6,SIMILARITY,100,10000,0.2,40,10,0.005,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215345498,250.0
974d57a2-67a5-4b22-9930-088479f23ede,SIMILARITY,100,10000,0.2,40,10,0.01,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215345498,250.0
2bc846f0-1f6b-46b0-8b74-dacae0948b4e,SIMILARITY,100,10000,0.2,40,10,0.05,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215345498,250.0
ac2f4c90-db4a-45f2-bc48-efbad0119a20,SIMILARITY,100,10000,0.2,40,10,0.1,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215345498,250.0
53988a0e-de2c-4fdd-9e5e-a001f0cff9d6,SIMILARITY,100,10000,0.2,40,10,0.2,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215345498,250.0
2e77c297-4363-42cd-91f5-524531282284,SIMILARITY,100,10000,0.2,40,10,0.3,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215345498,250.0
7aef3f90-3a7c-473d-b89b-b29180af356e,SIMILARITY,100,10000,0.2,40,10,0.4,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215345498,250.0
281bb894-6427-49d5-bcc9-66cad2dc1754,SIMILARITY,100,10000,0.2,40,10,0.5,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215345498,250.0
883a524b-736d-4f1f-be4c-567dabb962be,SIMILARITY,100,10000,0.2,40,10,0.75,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215345498,250.0
872d173f-f789-4fcc-b723-009225a76ad5,SIMILARITY,100,10000,0.2,40,10,1.0,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215345498,250.0
3dffb648-2664-4953-bf34-938df4cd3191,SIMILARITY,100,10000,0.2,40,10,2.0,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215345498,250.0
7777dbd5-883a-44c8-b229-940d14565bc3,REPULSIVE,100,10000,0.2,40,10,0.005,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215345498,250.0
3d6ad942-30f6-470f-94a7-8133a08803cd,REPULSIVE,100,10000,0.2,40,10,0.01,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215345498,250.0
0783fe60-54a7-42a1-a951-99a03827765a,REPULSIVE,100,10000,0.2,40,10,0.05,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215345498,250.0
655b432a-cb9e-4932-bd42-79ecfcc09aef,REPULSIVE,100,10000,0.2,40,10,0.1,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215345498,250.0
7e9fc081-aaaf-437f-981a-b7edb12fd245,REPULSIVE,100,10000,0.2,40,10,0.2,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215345498,250.0
4bf0e0dd-ac38-408e-bad9-15179272c1fa,REPULSIVE,100,10000,0.2,40,10,0.3,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215345498,250.0
eaab7624-feeb-4df6-bd65-22d71fe44d69,REPULSIVE,100,10000,0.2,40,10,0.4,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215345498,250.0
ba077b9b-2c42-4d99-bea2-01e2f53aa1e8,REPULSIVE,100,10000,0.2,40,10,0.5,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215345498,250.0
f266110f-d620-4fdc-96b5-e958d5637b1c,REPULSIVE,100,10000,0.2,40,10,0.75,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215345498,250.0
e76ef944-aed7-43bf-8209-7a48ffc3b57e,REPULSIVE,100,10000,0.2,40,10,1.0,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215345498,250.0
0b411d11-ce06-424d-8348-4c4cdb3f81a7,REPULSIVE,100,10000,0.2,40,10,2.0,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215345498,250.0
