experiment_id,measurement_type,x,value
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,1.0,0.9804756331018624
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,249.0,0.9962632993018298
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,499.0,0.9996924264056926
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,749.0,0.9994081271521988
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,999.0,0.9997396113436274
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,1249.0,0.9998
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,1499.0,0.9998
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,1749.0,0.9998
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,1999.0,0.9998
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,2249.0,0.9998
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,2499.0,0.9998
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,2749.0,0.9998
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,2999.0,0.9998
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,3249.0,0.9998
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,3499.0,0.9998
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,3749.0,0.9998
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,3999.0,0.9998
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,4249.0,0.9998
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,4499.0,0.9998
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,4749.0,0.9998
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,4999.0,0.9998
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,5249.0,0.9998
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,5499.0,0.9998
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,5749.0,0.9998
