config_id,simulation_type,num_of_agents,num_iterations,mio,mio_dist_type,num_of_repetitions,switch_agent_rate,switch_agent_sigma,radical_exposure_eta,truncate_at,epsilon,mark_stubborn_at,display_name,status,timestamp,audit_every_x_iterations
c8101597-580a-4eb0-829c-1ef97299efe2,SIMILARITY,100,10000,0.2,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
f02577b1-aa63-4713-ad04-5db552152b60,SIMILARITY,100,10000,0.2,UNIFORM,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
51ccab1b-2572-4036-b08a-4dbffdc145ca,SIMILARITY,100,10000,0.2,UP,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
2124420c-0305-41df-bf5f-312653f57337,SIMILARITY,100,10000,0.2,DOWN,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
0a59b2de-4f5a-4e29-b949-01c74730222c,SIMILARITY,100,10000,0.4,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
9428ed26-09ba-4a2d-9ce4-f77eb32b0a6f,SIMILARITY,100,10000,0.4,UNIFORM,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
b648c290-94c0-4832-8274-1ffae0ace688,SIMILARITY,100,10000,0.4,UP,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
7f020042-1d5c-4172-83b9-62a826b101b5,SIMILARITY,100,10000,0.4,DOWN,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
6c783c1b-a68d-438f-a43c-6ef73c100c56,SIMILARITY,100,10000,0.8,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
a881fc1a-717b-42ed-aadf-d7d8a892d8ae,SIMILARITY,100,10000,0.8,UNIFORM,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
8c5ecb8f-3608-44e2-b932-1af18d62363c,SIMILARITY,100,10000,0.8,UP,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
a9cb53a5-0102-465a-a5fc-b29742e3133e,SIMILARITY,100,10000,0.8,DOWN,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
3623e10e-42d5-4e9f-81c6-5a37a2c9f357,SIMILARITY,100,10000,1.0,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
96feb5f1-3dd9-4a05-b9af-e4c1f2c12ecd,SIMILARITY,100,10000,1.0,UNIFORM,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
0fc8dbb8-5829-4e31-b5b0-f6fef5bee27f,SIMILARITY,100,10000,1.0,UP,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
9b704485-e038-4e94-9d37-74dab98bb51d,SIMILARITY,100,10000,1.0,DOWN,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
f6f38b1e-bda7-4832-bd44-f543b73718d4,SIMILARITY,100,10000,1.2,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
6f0b5177-b4b0-4411-94d2-3f340d8782df,SIMILARITY,100,10000,1.2,UNIFORM,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
5fba5a8a-0d1a-4a92-be8f-0fc3beb88cd2,SIMILARITY,100,10000,1.2,UP,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
2e9d08ff-0cc2-4da5-98df-7ded80cf8d8d,SIMILARITY,100,10000,1.2,DOWN,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
d0eef6d1-143b-4d30-86f4-1bd28299f250,SIMILARITY,100,10000,1.4,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
1a6a5bb4-478b-475d-bae7-3be1d2d8b9b6,SIMILARITY,100,10000,1.4,UNIFORM,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
dc361a98-fe2c-4d95-9fbc-519133fe8906,SIMILARITY,100,10000,1.4,UP,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
